2023-10-10 09:38:46,691 INFO     preparing training data ...
2023-10-10 11:54:25,315 INFO     ==> pid: 0, No.40000 iter, val mrr=0.4886573387753335
2023-10-10 11:57:28,720 INFO     ==> pid: 0, No.41000 iter, val mrr=0.487874609042418
2023-10-10 12:00:23,351 INFO     ==> pid: 0, No.42000 iter, val mrr=0.489949739762074
2023-10-10 12:01:00,608 INFO     ==> pid: 0, No.42000 iter, test mrr=0.48813173868167975, hits@1=0.3684, hits@3=0.5541, hits@10=0.7192
2023-10-10 12:03:53,509 INFO     ==> pid: 0, No.43000 iter, val mrr=0.49070878635742504
2023-10-10 12:04:31,754 INFO     ==> pid: 0, No.43000 iter, test mrr=0.4890959759145484, hits@1=0.3692, hits@3=0.5562, hits@10=0.7204
2023-10-10 12:07:34,465 INFO     ==> pid: 0, No.44000 iter, val mrr=0.4918611490584522
2023-10-10 12:08:09,345 INFO     ==> pid: 0, No.44000 iter, test mrr=0.48960652361765117, hits@1=0.3702, hits@3=0.5559, hits@10=0.7200
2023-10-10 12:10:29,624 INFO     ==> pid: 0, No.45000 iter, val mrr=0.49150928839800717
2023-10-10 12:13:34,772 INFO     ==> pid: 0, No.46000 iter, val mrr=0.4921397088160279
2023-10-10 12:14:10,704 INFO     ==> pid: 0, No.46000 iter, test mrr=0.4906986824420954, hits@1=0.3713, hits@3=0.5568, hits@10=0.7201
2023-10-10 12:17:14,045 INFO     ==> pid: 0, No.47000 iter, val mrr=0.491813913286321
2023-10-10 12:20:23,817 INFO     ==> pid: 0, No.48000 iter, val mrr=0.4924228836592704
2023-10-10 12:21:00,165 INFO     ==> pid: 0, No.48000 iter, test mrr=0.49096664939814005, hits@1=0.3718, hits@3=0.5572, hits@10=0.7206
2023-10-10 12:23:56,575 INFO     ==> pid: 0, No.49000 iter, val mrr=0.4919801919137025
2023-10-10 12:27:16,045 INFO     ==> pid: 0, No.50000 iter, val mrr=0.49262232110803295
2023-10-10 12:27:44,052 INFO     ==> pid: 0, No.50000 iter, test mrr=0.49005751852403817, hits@1=0.3705, hits@3=0.5569, hits@10=0.7206
2023-10-10 12:27:44,677 INFO     trials:2/200
2023-10-10 12:27:46,266 INFO     ==> pid: 0, proparams_dict: {'batch_size': 128, 'dim': 500, 'n_neg': 512, 'regularizer': 'DURA', 'loss_function': 'CE', 'initializer': 'xavier_normal', 'lr': 0.00037101442904511646, 'regu_weight': 1.8337258193004024e-06, 'advs': 0, 'dropoutRate': 0.07786653424430112, 'gamma': 19.966875181096107, 'optimizer': 'adam', 'shareInverseRelation': True, 'training_mode': 'negativeSampling', 'label_smooth': 0.0, 'filter_falseNegative': True, 'embedding_range': 0.01} 

2023-10-10 12:27:46,349 INFO     ==> pid: 0, num_parameters for TADistMult: 7389502
2023-10-10 12:29:44,851 INFO     ==> pid: 0, No.1000 iter, val mrr=0.3200708201902982
2023-10-10 12:30:20,330 INFO     ==> pid: 0, No.1000 iter, test mrr=0.3176201997697022, hits@1=0.2321, hits@3=0.3548, hits@10=0.4830
2023-10-10 12:31:38,471 INFO     ==> pid: 0, No.2000 iter, val mrr=0.34730621401031253
2023-10-10 12:32:14,937 INFO     ==> pid: 0, No.2000 iter, test mrr=0.3448170338613637, hits@1=0.2466, hits@3=0.3894, hits@10=0.5347
2023-10-10 12:34:05,908 INFO     ==> pid: 0, No.3000 iter, val mrr=0.3618752936305618
2023-10-10 12:34:34,088 INFO     ==> pid: 0, No.3000 iter, test mrr=0.36039428224665054, hits@1=0.2559, hits@3=0.4073, hits@10=0.5613
2023-10-10 12:36:32,946 INFO     ==> pid: 0, No.4000 iter, val mrr=0.37178176577479943
2023-10-10 12:37:06,653 INFO     ==> pid: 0, No.4000 iter, test mrr=0.3707873540372704, hits@1=0.2656, hits@3=0.4164, hits@10=0.5759
2023-10-10 12:38:50,369 INFO     ==> pid: 0, No.5000 iter, val mrr=0.3767949035120064
2023-10-10 12:39:35,496 INFO     ==> pid: 0, No.5000 iter, test mrr=0.37533237020729376, hits@1=0.2663, hits@3=0.4239, hits@10=0.5884
2023-10-10 12:41:43,329 INFO     ==> pid: 0, No.6000 iter, val mrr=0.3820082916149885
2023-10-10 12:42:18,597 INFO     ==> pid: 0, No.6000 iter, test mrr=0.38041478209840784, hits@1=0.2703, hits@3=0.4287, hits@10=0.5976
2023-10-10 12:44:01,260 INFO     ==> pid: 0, No.7000 iter, val mrr=0.38381794687597515
2023-10-10 12:44:45,745 INFO     ==> pid: 0, No.7000 iter, test mrr=0.38290256208090584, hits@1=0.2703, hits@3=0.4336, hits@10=0.6032
2023-10-10 12:46:50,159 INFO     ==> pid: 0, No.8000 iter, val mrr=0.3882898887940904
2023-10-10 12:47:28,044 INFO     ==> pid: 0, No.8000 iter, test mrr=0.387001630762564, hits@1=0.2741, hits@3=0.4365, hits@10=0.6078
